"","Andorra","Armenia","Austria","Belarus","Belgium","Bulgaria","Croatia","Cyprus","Denmark","Estonia","Finland","France","Georgia","Germany","Greece","Hungary","Ireland","Italy","Kazakhstan","Kyrgyzstan","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Norway","Poland","Portugal","Moldova","Romania","Russia","Serbia","Slovakia","Slovenia","Spain","Sweden","Switzerland","Tajikistan","Turkey","Ukraine","UK","Uzbekistan"
"61",1683.4375,10000,3360,10000,1987.45882352943,1680,3014.66237942123,1200,3940.63157894738,2880,10000,3600,10000,1427.2037914692,1810.50397877985,1680,2636.33027522935,1440,4471.85454545455,10000,3600,5193.05660377358,3986.1971830986,1440,4682.6470588235,2884.92113564669,2731.56923076926,1255.02304147466,10000,2090.07627118644,10000,1635.24050632911,2149.25845272207,2880,4971.04477611942,10000,9472.74261603374,3600,3255.68627450983,10000,1920,10000
"62",1795.625,10000,3587.24252491694,10000,2132.19663865546,1759.58549222798,3256.59163987139,1215.67567567567,4211.78947368422,2913.375,10000,3831.80887372017,10000,1440,1920,1777.55844155844,2880,1440,4785.16363636364,10000,3708.20338983049,5597.58490566037,4244.78873239437,1440,4999.41176470585,2978.61198738172,2880,1354.28571428572,10000,2154.70508474576,10000,1680,2346.36103151864,2887.45341614907,5296.71641791047,10000,10000,3831.80887372017,3360,10000,2117.39999999999,10000
"63",1907.8125,10000,3633.48837209302,10000,2244.70588235296,1871.19170984456,3360,1312.7027027027,4405.89473684213,3062.0625,10000,4005.87030716727,10000,1440,1920,1889.45454545454,2889.90825688073,1540.86956521739,5098.47272727274,10000,3920.13559322033,5843.32075471697,4472.95774647888,1477.98561151078,5328.23529411761,3203.28075709781,2915.44615384616,1440,10000,2373.5593220339,10000,1710.98734177215,2400,2983.04347826087,5662.68656716419,10000,10000,4005.87030716727,3578.82352941179,10000,2160,10000
"64",1920,10000,3879.86710963455,10000,2400,1920,3570.67524115757,1409.72972972973,4708.21052631582,3312,10000,4249.96587030718,10000,1511.27962085308,1920,1920,2987.33944954128,1639.80676328503,5455.7090909091,10000,4172.33898305083,6336.90566037734,4776.33802816902,1607.86570743405,5675.29411764704,3360,3065.16923076925,1440,10000,2400,10000,1820.05063291139,2500.05730659027,3204.96894409938,5935.52238805972,10000,10000,4249.96587030718,3620.39215686277,10000,2399.99999999999,10000
"65",1920,10000,4085.98006644518,10000,2443.69747899161,1920,3607.71704180066,1440,5010.5263157895,3360,10000,4473.99317406147,10000,1623.69668246446,2096.97931034484,1920,3206.60550458715,1680,5736.72727272728,10000,4344.406779661,6747.16981132074,5079.71830985916,1676.73860911271,5949.70588235291,3506.87697160886,3312.00000000003,1440,10000,2510.16949152542,10000,1920,2623.49570200574,3360,6497.01492537315,10000,10000,4473.99317406147,3870.98039215688,10000,2400,10000
"66",2058.796875,10000,4286.11295681063,10000,2564.36974789917,1995.68704663212,3862.37942122187,1440,5323.78947368425,3600,10000,4768.05460750857,10000,1680,2153.55915119364,2027.15999999999,3360,1707.82608695652,6076.80000000002,10000,4636.47457627117,7466.2067924528,5417.46478873239,1680,6506.47058823526,3600,3360,1535.11520737328,10000,2631.86440677966,10000,1920,2853.86819484243,3500.12422360248,6917.01492537317,10000,10000,4768.05460750857,4063.52941176473,10000,2520,10000
"67",2144.5796875,10000,4538.47176079734,10000,2730.08403361347,2130.75388601036,4041.80064308683,1467.74774774774,5663.43859649125,3639.75,10000,5062.11604095567,10000,1680,2352.25464190983,2137.64883116883,3493.57798165137,1811.88405797102,6591.7090909091,10000,4928.54237288134,8270.66566037733,5710.98591549296,1761.72661870503,6926.47058823522,3810.4731861199,3600,1633.73271889401,10000,2867.11864406779,10000,1920,2880,3600,7685.40000000006,10000,10000,5062.11604095567,4272.54901960786,10000,2640,10000
"68",2297.5,10000,4824.71760797342,10000,2880,2218.44559585492,4259.42122186496,1597.11711711711,5917.47368421056,3874.5,10000,5381.56996587036,10000,1781.8009478673,2400,2257.87012987012,3600,1915.94202898551,7090.03636363639,10000,5220.61016949151,9226.26415094334,5989.85915492957,1865.03597122301,7685.3999999999,3962.27129337542,3627.32307692311,1680,10000,2880,10000,2078.41974683544,2936.90544412608,3795.27950310559,8464.47761194036,10000,10000,5381.56996587036,4506.6666666667,10000,2879.99999999999,10000
"69",2400,10000,5110.9634551495,10000,2903.19327731093,2400,4475.88424437301,1663.24324324324,6439.5789473685,4058.25,10000,5686.82593856658,10000,1883.88625592417,2484.66843501327,2400,3780.55045871559,1920,7889.41381818186,10000,5590.23728813557,10000,6533.23943661971,1920,8450.29411764693,4217.03470031547,3866.2153846154,1689.12442396314,10000,2938.47457627119,10000,2147.7053164557,3115.87392550145,3951.42857142857,9497.61194029859,10000,10000,5686.82593856658,4788.23529411768,10000,2880,10000
"70",2453.125,10000,5436.27906976744,10000,3010.58823529414,2412.43523316062,4752.9260450161,1680,6804.21052631587,4263.75,10000,5944.30034129697,10000,1920,2598.93899204245,2432.72727272727,3942.01834862385,1920,8674.90909090913,10000,5804.74576271185,10000,6953.23943661971,1920,9462.94117647043,4385.86750788647,4037.5384615385,1788.3870967742,10000,3117.96610169491,10000,2308.86075949367,3360,4205.21739130435,10000,10000,10000,5944.30034129697,5069.80392156866,10000,2940,10000
